Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
stick-de-sombra-tricolor-3-en-1,Stick de Sombra Tricolor 3 en 1,"<p><strong>Stick de sombra tricolor 3 en 1</strong> — color intenso en 3 tonos, a prueba de agua y manchas, dura hasta 16 horas y se aplica en segundos.</p><ul><li>Color intenso en 3 tonos</li><li>A prueba de agua y manchas</li><li>Dura hasta 16 horas</li><li>Aplicacion facil en segundos</li><li>Formula cremosa y suave, apta para principiantes</li><li>Vegano y libre de crueldad</li></ul>",Brevonnio,Maquillaje,"sombra, stick, maquillaje",TRUE,Paquete,COMPRA 1 + 1 GRATIS,BV-STK-2,30,shopify,100,deny,manual,499.00,1998.00,TRUE,TRUE,https://brevonnio.com/cdn/shop/files/ChatGPTImage4ago2026_13_08_23.png?height=200&v=1785841713,1,Stick de Sombra Tricolor 3 en 1,FALSE,Stick de Sombra Tricolor 3 en 1,"Stick de sombra tricolor 3 en 1: color intenso, a prueba de agua, dura 16 horas.",active
stick-de-sombra-tricolor-3-en-1,,,,,,,Paquete,COMPRA 2 + 3 GRATIS,BV-STK-5,30,shopify,100,deny,manual,998.00,4995.00,TRUE,TRUE,https://brevonnio.com/cdn/shop/files/ChatGPTImage4ago2026_12_32_38.png?format=webp&v=1785839569,2,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,Paquete,COMPRA 3 + 5 GRATIS,BV-STK-8,30,shopify,100,deny,manual,1497.00,7992.00,TRUE,TRUE,https://brevonnio.com/cdn/shop/files/ChatGPT_Image_4_ago_2026_12_35_34.png?v=1785840421,3,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://brevonnio.com/cdn/shop/files/ChatGPT_Image_4_ago_2026_12_40_20.png?v=1785840422,4,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://brevonnio.com/cdn/shop/files/ChatGPT_Image_4_ago_2026_12_42_56.png?v=1785840422,5,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://brevonnio.com/cdn/shop/files/ChatGPT_Image_4_ago_2026_12_45_48.png?v=1785840422,6,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/9743/4198/files/ChatGPT_Image_4_ago_2026_11_56_19.png?v=1785837394,7,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/9743/4198/files/ChatGPT_Image_4_ago_2026_11_30_28.png?v=1785835939,8,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/9743/4198/files/ChatGPT_Image_4_ago_2026_11_30_33.png?v=1785835938,9,Stick de Sombra Tricolor 3 en 1,,,,
stick-de-sombra-tricolor-3-en-1,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0935/9743/4198/files/ChatGPT_Image_4_ago_2026_11_30_24.png?v=1785835940,10,Stick de Sombra Tricolor 3 en 1,,,,
