Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
vitamin-d3-k2,Vitamin D3 & K2,"<p><strong>Clinically Dosed D3 &amp; K2 &bull; Magnesium &amp; Coconut Oil for Max Absorption</strong></p><p>10,000 IU D3 &bull; 300mcg K2 as MK-7, enhanced with coconut oil and a triple magnesium complex for maximum D3 absorption.</p><ul><li>Fast-Acting</li><li>Long-Lasting</li><li>Highly Absorbable</li><li>Lab-Tested for Purity</li></ul><p>Soy free &bull; Gluten free &bull; GMO free &bull; 30 softgels</p><p><em>These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</em></p>",True Nutra,Supplements,"vitamin d3, k2, magnesium",TRUE,Title,Vitamin D3 + K2,TN-VDK001,60,shopify,100,deny,manual,28.95,70.00,TRUE,TRUE,https://truenutra.com/cdn/shop/files/Frame2087331216.webp?v=1781910381,1,Vitamin D3 & K2,FALSE,"Vitamin D3 & K2 — Extra Strength 10,000 IU",Clinically dosed D3 & K2 with magnesium and coconut oil for maximum absorption. 30 softgels.,active
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame_2087326730_1.png?v=1748549665,2,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331220.webp?v=1781910381,3,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331132.webp?v=1781910381,4,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331144_9407057f-021f-4cec-a86b-eeb517bcdac7.webp?v=1781910381,5,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331131.webp?v=1781910381,6,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame_2087331242.webp?v=1787075117,7,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331141.webp?v=1781910381,8,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame_2087326730_2.webp?v=1748549908,9,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame_2087331192.webp?height=200&v=1781908750,10,Vitamin D3 & K2,,,,
vitamin-d3-k2,,,,,,,,,,,,,,,,,,,https://truenutra.com/cdn/shop/files/Frame2087331237.webp?height=200&v=1781910650,11,Vitamin D3 & K2,,,,
